MİLLET PARTİSİ,B,,0,0,",1",,",2",",3",",5",,,,,,,,,,,
MİLLET PARTİSİ,C,,,,,,,,,,,,,,,,,,,
MMP,A,,,,36188,,,,,,,,,,,,,,,
MMP,B,,,,",1",,,,,,,,,,,,,,,
MMP,C,,,,,,,,,,,,,,,,,,,
ÖDP,A,,,,,52055,106023,248553,,,,,,,,,,,,
ÖDP,B,,,,,",2",",3",",8",,,,,,,,,,,,
ÖDP,C,,,,,,,,,,,,,,,,,,,
RP,A,,,,,,,,6012450,4121355,1717425,,,,,,,,,
RP,B,,,,,,,,"21,4","16,9","7,2",,,,,,,,,
RP,C,,,,,,,,158,62,,,,,,,,,,
SAADET PARTİSİ,A,672139,325978,949178,543454,820289,785489,,,,,,,,,,,,,
SAADET PARTİSİ,B,"1,3",",7","2,1","1,3","2,3","2,5",,,,,,,,,,,,,
SAADET PARTİSİ,C,,,,,,,,,,,,,,,,,,,
SHP,A,,,,,,,,,5066571,5931000,,,,,,,,,
SHP,B,,,,,,,,,"20,8","24,8",,,,,,,,,
SHP,C,,,,,,,,,88,99,,,,,,,,,
SİP,A,,,,,,,37680,,,,,,,,,,,,
SİP,B,,,,,,,",1",,,,,,,,,,,,
SİP,C,,,,,,,,,,,,,,,,,,,
SP,A,,,,,,,,,108369,,,,,,,,,,
SP,B,,,,,,,,,",4",,,,,,,,,,
SP,C,,,,,,,,,,,,,,,,,,,
TKP,A,,,,64006,79258,59180,,,,,,,,,,,,,
TKP,B,,,,",1",",2",",2",,,,,,,,,,,,,
TKP,C,,,,,,,,,,,,,,,,,,,
TURK PARTİ,A,,,72701,,,,,,,,,,,,,,,,
TURK PARTİ,B,,,",2",,,,,,,,,,,,,,,,
TURK PARTİ,C,,,,,,,,,,,,,,,,,,,
VATAN PARTİSİ,A,114872,118803,161674,,,,,,,,,,,,,,,,
VATAN PARTİSİ,B,",2",",2",",4",,,,,,,,,,,,,,,,
VATAN PARTİSİ,C,,,,,,,,,,,,,,,,,,,
YDH,A,,,,,,,,133889,,,,,,,,,,,
YDH,B,,,,,,,,",5",,,,,,,,,,,
YDH,C,,,,,,,,,,,,,,,,,,,
YDP,A,,,,,,,44787,95484,,,,,,,,,,,
YDP,B,,,,,,,",1",",3",,,,,,,,,,,
YDP,C,,,,,,,,,,,,,,,,,,,
YENİ PARTİ,A,,,,,,,,36853,,,,,,,,,,,
YENİ PARTİ,B,,,,,,,,",1",,,,,,,,,,,
YENİ PARTİ,C,,,,,,,,,,,,,,,,,,,
YTP,A,,,,,,363869,,,,,,,,,,,,,
YTP,B,,,,,,"1,2",,,,,,,,,,,,,
YTP,C,,,,,,,,,,,,,,,,,,,
YURT-P,A,,,9289,,,294909,,,,,,,,,,,,,
YURT-P,B,,,0,,,",9",,,,,,,,,,,,,
YURT-P,C,,,,,,,,,,,,,,,,,,,
Bağımsız,A,75630,51038,488226,2819917,1835486,314251,270265,133895,32721,89421,195588,,,,,,,,
Bağımsız,B,",2",",1","1,1","6,6","5,2",1,",9",",5",",1",",4","1,1",,,,,,,,
Bağımsız,C,,,,35,26,9,3,,,,,,,,,,,,
AP,A,,,,,,,,,,,,5468202,3197897,4229712,4921235,3527435,,,
AP,B,,,,,,,,,,,,"36,9","29,8","46,6","52,9","34,8",,,
AP,C,,,,,,,,,,,,189,149,256,240,158,,,
BİRLİK PARTİSİ,A,,,,,,,,,,,,,,254695,,,,,
BİRLİK PARTİSİ,B,,,,,,,,,,,,,,"2,8",,,,,
BİRLİK PARTİSİ,C,,,,,,,,,,,,,,8,,,,,
CHP,A,,,,,,,,,,,,6136171,3570583,2487006,2675785,3724752,3825267,3193471,3148626
CHP,B,,,,,,,,,,,,"41,4","33,3","27,4","28,7","36,7","41,4","35,1","39,6"
CHP,C,,,,,,,,,,,,213,185,143,134,173,178,31,69
CGP,A,,,,,,,,,,,,277713,564343,,,,,,
CGP,B,,,,,,,,,,,,"1,9","5,3",,,,,,
CGP,C,,,,,,,,,,,,3,13,,,,,,
CKMP,A,,,,,,,,,,,,,,,208696,1415390,,,
CKMP,B,,,,,,,,,,,,,,,"2,2",14,,,
CKMP,C,,,,,,,,,,,,,,,11,54,,,
CMP,A,,,,,,,,,,,,,,,,,604087,480249,
CMP,B,,,,,,,,,,,,,,,,,"6,5","5,3",
CMP,C,,,,,,,,,,,,,,,,,4,5,
DP,A,,,,,,,,,,,,,,,,,4497811,5313659,4391694
DP,B,,,,,,,,,,,,,,,,,"48,6","58,4","55,2"
DP,C,,,,,,,,,,,,,,,,,424,503,416
DEMOKRATİK PARTİ,A,,,,,,,,,,,,274484,1275502,,,,,,
DEMOKRATİK PARTİ,B,,,,,,,,,,,,"1,8","11,9",,,,,,
DEMOKRATİK PARTİ,C,,,,,,,,,,,,1,45,,,,,,
GP,A,,,,,,,,,,,,,,597818,,,,,
GP,B,,,,,,,,,,,,,,"6,6",,,,,
GP,C,,,,,,,,,,,,,,15,,,,,
İP,A,,,,,,,,,,,,,,,,,,910,
İP,B,,,,,,,,,,,,,,,,,,0,
İP,C,,,,,,,,,,,,,,,,,,,
KP,A,,,,,,,,,,,,,,,,,,50935,
KP,B,,,,,,,,,,,,,,,,,,"0,6",
KP,C,,,,,,,,,,,,,,,,,,,
HÜRRİYET PARTİSİ,A,,,,,,,,,,,,,,,,,321471,,
HÜRRİYET PARTİSİ,B,,,,,,,,,,,,,,,,,"3,5",,
HÜRRİYET PARTİSİ,C,,,,,,,,,,,,,,,,,4,,
MİLLET PARTİSİ,A,,,,,,,,,,,,,62377,292961,582704,,,,368537
MİLLET PARTİSİ,B,,,,,,,,,,,,,"0,6","3,2","6,3",,,,"4,6"
MİLLET PARTİSİ,C,,,,,,,,,,,,,,6,31,,,,1
MHP,A,,,,,,,,,,,,951544,362208,275091,,,,,
MHP,B,,,,,,,,,,,,"6,4","3,4",3,,,,,
MHP,C,,,,,,,,,,,,16,3,1,,,,,
MSP,A,,,,,,,,,,,,1269918,1265771,,,,,,
MSP,B,,,,,,,,,,,,"8,6","11,8",,,,,,
MSP,C,,,,,,,,,,,,24,48,,,,,,
TBP,A,,,,,,,,,,,,58540,121759,,,,,,
TBP,B,,,,,,,,,,,,"0,4","1,1",,,,,,
TBP,C,,,,,,,,,,,,,1,,,,,,
TİP,A,,,,,,,,,,,,20565,,243631,276101,,,,
TİP,B,,,,,,,,,,,,"0,1",,"2,7",3,,,,
TİP,C,,,,,,,,,,,,,,2,14,,,,
VP,A,,,,,,,,,,,,,,,,,463,,
VP,B,,,,,,,,,,,,,,,,,0,,
VP,C,,,,,,,,,,,,,,,,,,,
YTP ,A,,,,,,,,,,,,,,197929,346514,1391934,,,
YTP ,B,,,,,,,,,,,,,,"2,2","3,7","13,7",,,
YTP ,C,,,,,,,,,,,,,,6,19,65,,,
Bağımsız,A,,,,,,,,,,,,370035,303218,511023,296528,81732,1850,56393,44537
Bağımsız,B,,,,,,,,,,,,"2,5","2,8","5,6","3,2","0,8",0,"0,6","0,6"
Bağımsız,C,,,,,,,,,,,,4,6,13,1,,,2,1
